Tanggal,Harga_Mingguan
"Friday, June 4, 2010",9.141429
"Friday, June 11, 2010",9.053929
"Friday, June 18, 2010",9.788214
"Friday, June 25, 2010",9.525
"Friday, July 2, 2010",8.819286
"Friday, July 9, 2010",9.272143
"Friday, July 16, 2010",8.925
"Friday, July 23, 2010",9.283571
"Friday, July 30, 2010",9.1875
"Friday, August 6, 2010",9.288929
"Friday, August 13, 2010",8.896429
"Friday, August 20, 2010",8.915714
"Friday, August 27, 2010",8.629286
"Friday, September 3, 2010",9.241786
"Friday, September 10, 2010",9.4075
"Friday, September 17, 2010",9.834643
"Friday, September 24, 2010",10.44
"Friday, October 1, 2010",10.09
"Friday, October 8, 2010",10.5025
"Friday, October 15, 2010",11.240714
"Friday, October 22, 2010",10.981071
"Friday, October 29, 2010",10.749286
"Friday, November 5, 2010",11.326071
"Friday, November 12, 2010",11.001071
"Friday, November 19, 2010",10.954643
"Friday, November 26, 2010",11.25
"Friday, December 3, 2010",11.337143
"Friday, December 10, 2010",11.448571
"Friday, December 17, 2010",11.450357
"Thursday, December 23, 2010",11.557143
"Friday, December 31, 2010",11.52
"Friday, January 7, 2011",12.004286
"Friday, January 14, 2011",12.445714
"Friday, January 21, 2011",11.668571
"Friday, January 28, 2011",12.003571
"Friday, February 4, 2011",12.375
"Friday, February 11, 2011",12.744643
"Friday, February 18, 2011",12.52
"Friday, February 25, 2011",12.434286
"Friday, March 4, 2011",12.857143
"Friday, March 11, 2011",12.571071
"Friday, March 18, 2011",11.809643
"Friday, March 25, 2011",12.555
"Friday, April 1, 2011",12.305714
"Friday, April 8, 2011",11.966429
"Friday, April 15, 2011",11.695
"Thursday, April 21, 2011",12.525
"Friday, April 29, 2011",12.504643
"Friday, May 6, 2011",12.380714
"Friday, May 13, 2011",12.160714
"Friday, May 20, 2011",11.972143
"Friday, May 27, 2011",12.050357
"Friday, June 3, 2011",12.265714
"Friday, June 10, 2011",11.639286
"Friday, June 17, 2011",11.437857
"Friday, June 24, 2011",11.655357
"Friday, July 1, 2011",12.259286
"Friday, July 8, 2011",12.846786
"Friday, July 15, 2011",13.032857
"Friday, July 22, 2011",14.046429
"Friday, July 29, 2011",13.945714
"Friday, August 5, 2011",13.343571
"Friday, August 12, 2011",13.463929
"Friday, August 19, 2011",12.715357
"Friday, August 26, 2011",13.699286
"Friday, September 2, 2011",13.358929
"Friday, September 9, 2011",13.481429
"Friday, September 16, 2011",14.303571
"Friday, September 23, 2011",14.439286
"Friday, September 30, 2011",13.618571
"Friday, October 7, 2011",13.207143
"Friday, October 14, 2011",15.071429
"Friday, October 21, 2011",14.031071
"Friday, October 28, 2011",14.4625
"Friday, November 4, 2011",14.294286
"Friday, November 11, 2011",13.736429
"Friday, November 18, 2011",13.390714
"Friday, November 25, 2011",12.984643
"Friday, December 2, 2011",13.917857
"Friday, December 9, 2011",14.057857
"Friday, December 16, 2011",13.607857
"Friday, December 23, 2011",14.404643
"Friday, December 30, 2011",14.464286
"Friday, January 6, 2012",15.085714
"Friday, January 13, 2012",14.993214
"Friday, January 20, 2012",15.010714
"Friday, January 27, 2012",15.974286
"Friday, February 3, 2012",16.417143
"Friday, February 10, 2012",17.622143
"Friday, February 17, 2012",17.932858
"Friday, February 24, 2012",18.657499
"Friday, March 2, 2012",19.470715
"Friday, March 9, 2012",19.470358
"Friday, March 16, 2012",20.913214
"Friday, March 23, 2012",21.2875
"Friday, March 30, 2012",21.4125
"Thursday, April 5, 2012",22.63143
"Friday, April 13, 2012",21.615356
"Friday, April 20, 2012",20.463572
"Friday, April 27, 2012",21.535713
"Friday, May 4, 2012",20.1875
"Friday, May 11, 2012",20.239643
"Friday, May 18, 2012",18.942142
"Friday, May 25, 2012",20.081785
"Friday, June 1, 2012",20.035357
"Friday, June 8, 2012",20.725714
"Friday, June 15, 2012",20.504642
"Friday, June 22, 2012",20.789286
"Friday, June 29, 2012",20.857143
"Friday, July 6, 2012",21.638571
"Friday, July 13, 2012",21.606071
"Friday, July 20, 2012",21.582144
"Friday, July 27, 2012",20.898571
"Friday, August 3, 2012",21.989286
"Friday, August 10, 2012",22.203571
"Friday, August 17, 2012",23.146786
"Friday, August 24, 2012",23.686428
"Friday, August 31, 2012",23.758572
"Friday, September 7, 2012",24.30143
"Friday, September 14, 2012",24.688572
"Friday, September 21, 2012",25.003214
"Friday, September 28, 2012",23.825001
"Friday, October 5, 2012",23.306786
"Friday, October 12, 2012",22.489643
"Friday, October 19, 2012",21.780001
"Friday, October 26, 2012",21.571428
"Friday, November 2, 2012",20.6
"Friday, November 9, 2012",19.537857
"Friday, November 16, 2012",18.845715
"Friday, November 23, 2012",20.410713
"Friday, November 30, 2012",20.902857
"Friday, December 7, 2012",19.044643
"Friday, December 14, 2012",18.206785
"Friday, December 21, 2012",18.547501
"Friday, December 28, 2012",18.199642
"Friday, January 4, 2013",18.821428
"Friday, January 11, 2013",18.582144
"Friday, January 18, 2013",17.857143
"Friday, January 25, 2013",15.71
"Friday, February 1, 2013",16.200714
"Friday, February 8, 2013",16.963572
"Friday, February 15, 2013",16.434286
"Friday, February 22, 2013",16.100357
"Friday, March 1, 2013",15.373929
"Friday, March 8, 2013",15.418571
"Friday, March 15, 2013",15.845
"Friday, March 22, 2013",16.496786
"Thursday, March 28, 2013",15.809286
"Friday, April 5, 2013",15.114286
"Friday, April 12, 2013",15.35
"Friday, April 19, 2013",13.9475
"Friday, April 26, 2013",14.9
"Friday, May 3, 2013",16.070715
"Friday, May 10, 2013",16.1775
"Friday, May 17, 2013",15.473571
"Friday, May 24, 2013",15.898214
"Friday, May 31, 2013",16.061787
"Friday, June 7, 2013",15.778929
"Friday, June 14, 2013",15.358929
"Friday, June 21, 2013",14.767857
"Friday, June 28, 2013",14.161786
"Friday, July 5, 2013",14.907857
"Friday, July 12, 2013",15.2325
"Friday, July 19, 2013",15.176786
"Friday, July 26, 2013",15.749643
"Friday, August 2, 2013",16.519285
"Friday, August 9, 2013",16.230356
"Friday, August 16, 2013",17.940357
"Friday, August 23, 2013",17.893572
"Friday, August 30, 2013",17.400715
"Friday, September 6, 2013",17.793571
"Friday, September 13, 2013",16.603571
"Friday, September 20, 2013",16.693214
"Friday, September 27, 2013",17.241072
"Friday, October 4, 2013",17.251072
"Friday, October 11, 2013",17.600357
"Friday, October 18, 2013",18.174643
"Friday, October 25, 2013",18.784286
"Friday, November 1, 2013",18.5725
"Friday, November 8, 2013",18.591429
"Friday, November 15, 2013",18.749643
"Friday, November 22, 2013",18.564285
"Friday, November 29, 2013",19.859644
"Friday, December 6, 2013",20.000713
"Friday, December 13, 2013",19.801071
"Friday, December 20, 2013",19.607857
"Friday, December 27, 2013",20.003214
"Friday, January 3, 2014",19.320715
"Friday, January 10, 2014",19.033571
"Friday, January 17, 2014",19.309643
"Friday, January 24, 2014",19.502501
"Friday, January 31, 2014",17.878571
"Friday, February 7, 2014",18.559999
"Friday, February 14, 2014",19.428213
"Friday, February 21, 2014",18.758928
"Friday, February 28, 2014",18.794287
"Friday, March 7, 2014",18.944286
"Friday, March 14, 2014",18.73893
"Friday, March 21, 2014",19.031071
"Friday, March 28, 2014",19.173571
"Friday, April 4, 2014",18.99357
"Friday, April 11, 2014",18.557501
"Thursday, April 17, 2014",18.747856
"Friday, April 25, 2014",20.42643
"Friday, May 2, 2014",21.16357
"Friday, May 9, 2014",20.912144
"Friday, May 16, 2014",21.339643
"Friday, May 23, 2014",21.933214
"Friday, May 30, 2014",22.607143
"Friday, June 6, 2014",23.05607
"Friday, June 13, 2014",22.82
"Friday, June 20, 2014",22.727501
"Friday, June 27, 2014",22.995001
"Thursday, July 3, 2014",23.5075
"Friday, July 11, 2014",23.805
"Friday, July 18, 2014",23.6075
"Friday, July 25, 2014",24.4175
"Friday, August 1, 2014",24.032499
"Friday, August 8, 2014",23.684999
"Friday, August 15, 2014",24.495001
"Friday, August 22, 2014",25.33
"Friday, August 29, 2014",25.625
"Friday, September 5, 2014",24.7425
"Friday, September 12, 2014",25.415001
"Friday, September 19, 2014",25.24
"Friday, September 26, 2014",25.1875
"Friday, October 3, 2014",24.905001
"Friday, October 10, 2014",25.182501
"Friday, October 17, 2014",24.4175
"Friday, October 24, 2014",26.305
"Friday, October 31, 2014",27
"Friday, November 7, 2014",27.252501
"Friday, November 14, 2014",28.545
"Friday, November 21, 2014",29.1175
"Friday, November 28, 2014",29.7325
"Friday, December 5, 2014",28.75
"Friday, December 12, 2014",27.432501
"Friday, December 19, 2014",27.945
"Friday, December 26, 2014",28.497499
"Friday, January 2, 2015",27.3325
"Friday, January 9, 2015",28.002501
"Friday, January 16, 2015",26.497499
"Friday, January 23, 2015",28.245001
"Friday, January 30, 2015",29.290001
"Friday, February 6, 2015",29.7325
"Friday, February 13, 2015",31.77
"Friday, February 20, 2015",32.375
"Friday, February 27, 2015",32.115002
"Friday, March 6, 2015",31.65
"Friday, March 13, 2015",30.897499
"Friday, March 20, 2015",31.475
"Friday, March 27, 2015",30.8125
"Thursday, April 2, 2015",31.33
"Friday, April 10, 2015",31.775
"Friday, April 17, 2015",31.1875
"Friday, April 24, 2015",32.57
"Friday, May 1, 2015",32.237499
"Friday, May 8, 2015",31.905001
"Friday, May 15, 2015",32.192501
"Friday, May 22, 2015",33.134998
"Friday, May 29, 2015",32.57
"Friday, June 5, 2015",32.162498
"Friday, June 12, 2015",31.7925
"Friday, June 19, 2015",31.65
"Friday, June 26, 2015",31.6875
"Thursday, July 2, 2015",31.610001
"Friday, July 10, 2015",30.82
"Friday, July 17, 2015",32.404999
"Friday, July 24, 2015",31.125
"Friday, July 31, 2015",30.325001
"Friday, August 7, 2015",28.879999
"Friday, August 14, 2015",28.99
"Friday, August 21, 2015",26.440001
"Friday, August 28, 2015",28.3225
"Friday, September 4, 2015",27.317499
"Friday, September 11, 2015",28.5525
"Friday, September 18, 2015",28.362499
"Friday, September 25, 2015",28.6775
"Friday, October 2, 2015",27.594999
"Friday, October 9, 2015",28.030001
"Friday, October 16, 2015",27.76
"Friday, October 23, 2015",29.77
"Friday, October 30, 2015",29.875
"Friday, November 6, 2015",30.264999
"Friday, November 13, 2015",28.084999
"Friday, November 20, 2015",29.825001
"Friday, November 27, 2015",29.452499
"Friday, December 4, 2015",29.7575
"Friday, December 11, 2015",28.295
"Friday, December 18, 2015",26.5075
"Thursday, December 24, 2015",27.0075
"Thursday, December 31, 2015",26.315001
"Friday, January 8, 2016",24.24
"Friday, January 15, 2016",24.282499
"Friday, January 22, 2016",25.355
"Friday, January 29, 2016",24.334999
"Friday, February 5, 2016",23.504999
"Friday, February 12, 2016",23.497499
"Friday, February 19, 2016",24.01
"Friday, February 26, 2016",24.227501
"Friday, March 4, 2016",25.752501
"Friday, March 11, 2016",25.565001
"Friday, March 18, 2016",26.48
"Thursday, March 24, 2016",26.4175
"Friday, April 1, 2016",27.497499
"Friday, April 8, 2016",27.165001
"Friday, April 15, 2016",27.4625
"Friday, April 22, 2016",26.42
"Friday, April 29, 2016",23.434999
"Friday, May 6, 2016",23.18
"Friday, May 13, 2016",22.629999
"Friday, May 20, 2016",23.805
"Friday, May 27, 2016",25.0875
"Friday, June 3, 2016",24.48
"Friday, June 10, 2016",24.7075
"Friday, June 17, 2016",23.8325
"Friday, June 24, 2016",23.35
"Friday, July 1, 2016",23.9725
"Friday, July 8, 2016",24.17
"Friday, July 15, 2016",24.695
"Friday, July 22, 2016",24.665001
"Friday, July 29, 2016",26.0525
"Friday, August 5, 2016",26.870001
"Friday, August 12, 2016",27.045
"Friday, August 19, 2016",27.34
"Friday, August 26, 2016",26.735001
"Friday, September 2, 2016",26.932501
"Friday, September 9, 2016",25.782499
"Friday, September 16, 2016",28.73
"Friday, September 23, 2016",28.1775
"Friday, September 30, 2016",28.262501
"Friday, October 7, 2016",28.514999
"Friday, October 14, 2016",29.407499
"Friday, October 21, 2016",29.15
"Friday, October 28, 2016",28.43
"Friday, November 4, 2016",27.209999
"Friday, November 11, 2016",27.1075
"Friday, November 18, 2016",27.514999
"Friday, November 25, 2016",27.9475
"Friday, December 2, 2016",27.475
"Friday, December 9, 2016",28.487499
"Friday, December 16, 2016",28.9925
"Friday, December 23, 2016",29.129999
"Friday, December 30, 2016",28.955
"Friday, January 6, 2017",29.477501
"Friday, January 13, 2017",29.76
"Friday, January 20, 2017",30
"Friday, January 27, 2017",30.487499
"Friday, February 3, 2017",32.27
"Friday, February 10, 2017",33.029999
"Friday, February 17, 2017",33.93
"Friday, February 24, 2017",34.165001
"Friday, March 3, 2017",34.945
"Friday, March 10, 2017",34.785
"Friday, March 17, 2017",34.997501
"Friday, March 24, 2017",35.16
